date,value
8-3-2016,163.767
9-3-2016,162.009
10-3-2016,164.774
11-3-2016,167.789
12-3-2016,175.631
13-3-2016,173.546
14-3-2016,175.503
15-3-2016,177.981
16-3-2016,179.561
17-3-2016,177.615
18-3-2016,176.46
19-3-2016,184.497
20-3-2016,183.32
21-3-2016,187.123
22-3-2016,187.677
23-3-2016,186.667
24-3-2016,186.575
25-3-2016,180.529
26-3-2016,177.334
27-3-2016,176.204
28-3-2016,176.122
29-3-2016,183.593
30-3-2016,188.996
31-3-2016,194.757
1-4-2016,202.648
2-4-2016,204.337
3-4-2016,185.657
4-4-2016,192.738
5-4-2016,201.096
6-4-2016,203.317
7-4-2016,205.256
8-4-2016,208.9
9-4-2016,209.787
10-4-2016,204.835
11-4-2016,202.583
12-4-2016,205.292
13-4-2016,203.132
14-4-2016,204.816
15-4-2016,205.09
16-4-2016,204.763
17-4-2016,198.233
18-4-2016,197.833
19-4-2016,202.159
20-4-2016,203.634
21-4-2016,203.207
22-4-2016,199.75
23-4-2016,201.112
24-4-2016,195.839
25-4-2016,192.998
26-4-2016,199.162
27-4-2016,197.685
28-4-2016,203.295
29-4-2016,211.373
30-4-2016,208.789
1-5-2016,206.226
2-5-2016,205.864
3-5-2016,208.596
4-5-2016,206.306
5-5-2016,203.047
6-5-2016,204.643
7-5-2016,200.899
8-5-2016,198.739
9-5-2016,200.544
10-5-2016,202.459
11-5-2016,201.435
12-5-2016,198.773
13-5-2016,200.365
14-5-2016,202.235
15-5-2016,195.827
16-5-2016,194.787
17-5-2016,187.167
18-5-2016,186.779
19-5-2016,186.233
20-5-2016,186.161
21-5-2016,184.671
22-5-2016,183.103
23-5-2016,182.499
24-5-2016,181.091
25-5-2016,182.338
26-5-2016,184.978
27-5-2016,188.634
28-5-2016,189.696
29-5-2016,188.405
30-5-2016,187.353
31-5-2016,191.409
1-6-2016,187.86
2-6-2016,186.858
3-6-2016,188.716
4-6-2016,182.493
5-6-2016,179.795
6-6-2016,178.81
7-6-2016,181.98
8-6-2016,185.078
9-6-2016,184.204
10-6-2016,183.989
11-6-2016,184.391
12-6-2016,185.832
13-6-2016,183.529
14-6-2016,184.909
15-6-2016,185.279
16-6-2016,195.576
17-6-2016,202.195
18-6-2016,201.488
19-6-2016,196.505
20-6-2016,193.381
21-6-2016,191.15
22-6-2016,182.934
23-6-2016,170.117
24-6-2016,163.092
25-6-2016,161.443
26-6-2016,159.159
27-6-2016,160.119
28-6-2016,160.278
29-6-2016,156.923
30-6-2016,152.11
1-7-2016,149.322
2-7-2016,152.692
3-7-2016,149.864
4-7-2016,154.553
5-7-2016,174.791
6-7-2016,179.684
7-7-2016,184.093
8-7-2016,190.026
9-7-2016,189.36
10-7-2016,171.158
11-7-2016,175.772
12-7-2016,186.634
13-7-2016,193.515
14-7-2016,177.713
15-7-2016,181.196
16-7-2016,181.873
17-7-2016,185.486
18-7-2016,183.876
19-7-2016,182.52
20-7-2016,177.178
21-7-2016,171.728
22-7-2016,172.096
23-7-2016,170.056
24-7-2016,169.983
25-7-2016,171.18
26-7-2016,175.065
27-7-2016,176.831
28-7-2016,177.353
29-7-2016,175.634
30-7-2016,174.52
31-7-2016,173.359
1-8-2016,173.945
2-8-2016,170.583
3-8-2016,168.246
4-8-2016,168.233
5-8-2016,166.551
6-8-2016,164.73
7-8-2016,161.584
8-8-2016,161.936
9-8-2016,163.927
10-8-2016,158.137
11-8-2016,160.122
12-8-2016,161.758
13-8-2016,159.886
14-8-2016,161.025
15-8-2016,160.483
